timestamp,gym_name,occupancy,capacity,percentage
2026-07-06 16:57:26,DreamFit Moratalaz,364,728,50.0
2026-07-06 17:03:05,DreamFit Moratalaz,358,728,49.175824175824175
2026-07-06 17:03:52,DreamFit Moratalaz,362,728,49.72527472527473
2026-07-06 17:08:13,DreamFit Moratalaz,363,728,49.862637362637365
2026-07-06T21:12:35.801360,DreamFit Moratalaz,193,728,26.5
2026-07-06T21:14:53.734393+02:00,DreamFit Moratalaz,195,728,26.8
2026-07-06T22:23:59.239515+02:00,DreamFit Moratalaz,77,728,10.6
2026-07-06T22:28:00.486089,DreamFit Moratalaz,72,728,9.9
2026-07-06T22:28:34.471193,DreamFit Moratalaz,72,728,9.9
2026-07-06T22:33:21.088108+02:00,DreamFit Moratalaz,68,728,9.3
2026-07-06T22:47:45.929818+02:00,DreamFit Moratalaz,46,728,6.3
2026-07-07T12:16:15.123741+02:00,DreamFit Moratalaz,188,728,25.8
2026-07-07T14:39:12.396747+02:00,DreamFit Moratalaz,134,728,18.4
2026-07-07T17:33:25.168830+02:00,DreamFit Moratalaz,205,728,28.2
2026-07-07T19:34:28.409686+02:00,DreamFit Moratalaz,318,728,43.7
2026-07-07T21:22:34.752734+02:00,DreamFit Moratalaz,258,728,35.4
2026-07-07T23:00:11.925381+02:00,DreamFit Moratalaz,26,728,3.6
2026-07-08T14:11:36.094489+02:00,DreamFit Moratalaz,26,728,3.6
2026-07-08T16:45:24.818789+02:00,DreamFit Moratalaz,28,728,3.8
2026-07-08T18:24:05.500387+02:00,DreamFit Moratalaz,35,728,4.8
2026-07-08T19:56:07.507897+02:00,DreamFit Moratalaz,44,728,6.0
2026-07-08T21:05:50.437092+02:00,DreamFit Moratalaz,49,728,6.7
2026-07-08T22:40:43.093100+02:00,DreamFit Moratalaz,52,728,7.1
2026-07-08T23:56:15.068187+02:00,DreamFit Moratalaz,52,728,7.1
2026-07-09T12:16:35.175360+02:00,DreamFit Moratalaz,13,728,1.8
2026-07-09T17:50:33.169355+02:00,DreamFit Moratalaz,28,728,3.8
2026-07-09T19:44:59.031390+02:00,DreamFit Moratalaz,42,728,5.8
2026-07-09T21:17:23.299475+02:00,DreamFit Moratalaz,51,728,7.0
2026-07-09T22:59:42.466162+02:00,DreamFit Moratalaz,54,728,7.4
2026-07-10T12:13:16.604400+02:00,DreamFit Moratalaz,17,728,2.3
2026-07-10T14:39:12.366958+02:00,DreamFit Moratalaz,24,728,3.3
2026-07-10T17:25:03.187553+02:00,DreamFit Moratalaz,30,728,4.1
2026-07-10T19:14:27.075873+02:00,DreamFit Moratalaz,38,728,5.2
2026-07-10T20:54:14.338037+02:00,DreamFit Moratalaz,42,728,5.8
2026-07-10T22:11:02.582109+02:00,DreamFit Moratalaz,43,728,5.9
2026-07-10T23:31:59.840110+02:00,DreamFit Moratalaz,44,728,6.0
2026-07-11T10:41:26.520719+02:00,DreamFit Moratalaz,8,728,1.1
2026-07-11T12:08:01.416993+02:00,DreamFit Moratalaz,13,728,1.8
2026-07-11T13:28:22.761732+02:00,DreamFit Moratalaz,18,728,2.5
2026-07-11T14:12:35.857631+02:00,DreamFit Moratalaz,20,728,2.7
2026-07-11T15:59:05.654970+02:00,DreamFit Moratalaz,26,728,3.6
2026-07-11T16:51:06.137973+02:00,DreamFit Moratalaz,28,728,3.8
2026-07-11T17:42:22.479907+02:00,DreamFit Moratalaz,31,728,4.3
2026-07-11T18:40:06.875814+02:00,DreamFit Moratalaz,40,728,5.5
2026-07-11T19:44:02.924560+02:00,DreamFit Moratalaz,41,728,5.6
2026-07-11T20:41:04.341000+02:00,DreamFit Moratalaz,41,728,5.6
2026-07-11T21:57:02.639324+02:00,DreamFit Moratalaz,41,728,5.6
2026-07-11T22:40:04.497288+02:00,DreamFit Moratalaz,41,728,5.6
2026-07-11T23:37:11.122211+02:00,DreamFit Moratalaz,41,728,5.6
2026-07-12T10:57:07.440268+02:00,DreamFit Moratalaz,6,728,0.8
2026-07-12T12:19:49.959522+02:00,DreamFit Moratalaz,9,728,1.2
2026-07-12T13:35:26.292178+02:00,DreamFit Moratalaz,11,728,1.5
2026-07-12T14:47:57.861550+02:00,DreamFit Moratalaz,12,728,1.6
2026-07-12T16:20:43.197436+02:00,DreamFit Moratalaz,12,728,1.6
2026-07-12T17:30:33.701714+02:00,DreamFit Moratalaz,12,728,1.6
2026-07-12T18:41:56.318265+02:00,DreamFit Moratalaz,13,728,1.8
2026-07-12T19:47:16.685421+02:00,DreamFit Moratalaz,13,728,1.8
2026-07-12T20:44:41.385460+02:00,DreamFit Moratalaz,13,728,1.8
2026-07-12T21:58:53.139396+02:00,DreamFit Moratalaz,13,728,1.8
2026-07-12T22:41:48.528148+02:00,DreamFit Moratalaz,13,728,1.8
2026-07-12T23:37:08.086383+02:00,DreamFit Moratalaz,13,728,1.8
2026-07-13T12:14:45.173405+02:00,DreamFit Moratalaz,20,728,2.7
2026-07-13T14:43:41.056973+02:00,DreamFit Moratalaz,27,728,3.7
2026-07-13T19:47:16.339137+02:00,DreamFit Moratalaz,63,728,8.7
2026-07-13T21:08:06.989094+02:00,DreamFit Moratalaz,69,728,9.5
2026-07-13T22:37:03.624966+02:00,DreamFit Moratalaz,69,728,9.5
2026-07-13T23:42:10.317747+02:00,DreamFit Moratalaz,69,728,9.5
